"CCSDS_OMM_VERS","COMMENT","CREATION_DATE","ORIGINATOR","OBJECT_NAME","OBJECT_ID","CENTER_NAME","REF_FRAME","TIME_SYSTEM","MEAN_ELEMENT_THEORY","EPOCH","MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","EPHEMERIS_TYPE","CLASSIFICATION_TYPE","NORAD_CAT_ID","ELEMENT_SET_NO","REV_AT_EPOCH","BSTAR","MEAN_MOTION_DOT","MEAN_MOTION_DDOT","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","COUNTRY_CODE","LAUNCH_DATE","SITE","DECAY_DATE","FILE","GP_ID","TLE_LINE0","TLE_LINE1","TLE_LINE2"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T06:26:15","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-01T01:58:18.287040","15.19286040","0.00147410","97.4231","65.8466","82.9803","5.2042","0","U","44804","999","11622","0.00009447700000","0.00001930","0.0000000000000","6886.134","94.781","518.150","497.848","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3260249","193095749","0 CARTOSAT 3","1 44804U 19081A   22001.08215610  .00001930  00000-0  94477-4 0  9995","2 44804  97.4231  65.8466 0014741  82.9803   5.2042 15.19286040116221"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T05:36:15","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-01T10:03:31.414176","15.19287376","0.00147280","97.4231","66.1780","81.6736","48.2997","0","U","44804","999","11627","0.00009489900000","0.00001939","0.0000000000000","6886.130","94.781","518.137","497.853","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3258138","193052445","0 CARTOSAT 3","1 44804U 19081A   22001.41911359  .00001939  00000-0  94899-4 0  9992","2 44804  97.4231  66.1780 0014728  81.6736  48.2997 15.19287376116274"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-01T20:19:10","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-01T13:14:48.302880","15.19287624","0.00147120","97.4231","66.3085","81.1149","54.9218","0","U","44804","999","11629","0.00009324300000","0.00001904","0.0000000000000","6886.129","94.781","518.125","497.863","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3255244","192866996","0 CARTOSAT 3","1 44804U 19081A   22001.55194795  .00001904  00000-0  93243-4 0  9998","2 44804  97.4231  66.3085 0014712  81.1149  54.9218 15.19287624116298"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-02T04:21:58","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-01T21:02:17.168640","15.19287874","0.00147050","97.4231","66.6274","80.2309","30.2632","0","U","44804","999","11634","0.00008734600000","0.00001779","0.0000000000000","6886.129","94.781","518.120","497.868","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3255246","192891913","0 CARTOSAT 3","1 44804U 19081A   22001.87658760  .00001779  00000-0  87346-4 0  9997","2 44804  97.4231  66.6274 0014705  80.2309  30.2632 15.19287874116341"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T05:46:26","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-02T04:47:18.897792","15.19288372","0.00146650","97.4234","66.9452","79.4783","356.1685","0","U","44804","999","11639","0.00008260900000","0.00001679","0.0000000000000","6886.127","94.781","518.091","497.894","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3258601","193061879","0 CARTOSAT 3","1 44804U 19081A   22002.19952428  .00001679  00000-0  82609-4 0  9997","2 44804  97.4234  66.9452 0014665  79.4783 356.1685 15.19288372116393"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T06:26:15","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-02T08:10:27.725088","15.19288648","0.00146690","97.4233","67.0837","79.0096","47.7413","0","U","44804","999","11641","0.00008128600000","0.00001651","0.0000000000000","6886.126","94.781","518.092","497.890","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3260368","193098841","0 CARTOSAT 3","1 44804U 19081A   22002.34059867  .00001651  00000-0  81286-4 0  9999","2 44804  97.4233  67.0837 0014669  79.0096  47.7413 15.19288648116419"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-02T19:00:44","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-02T12:51:02.872224","15.19289043","0.00146840","97.4234","67.2754","78.1294","33.6668","0","U","44804","999","11644","0.00007939100000","0.00001611","0.0000000000000","6886.125","94.781","518.102","497.878","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3255248","192918093","0 CARTOSAT 3","1 44804U 19081A   22002.53544991  .00001611  00000-0  79391-4 0  9997","2 44804  97.4234  67.2754 0014684  78.1294  33.6668 15.19289043116446"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T05:16:11","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-02T19:20:16.090656","15.19289132","0.00146840","97.4233","67.5409","77.3007","71.8932","0","U","44804","999","11648","0.00007446600000","0.00001507","0.0000000000000","6886.125","94.781","518.101","497.878","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3257847","193045366","0 CARTOSAT 3","1 44804U 19081A   22002.80574179  .00001507  00000-0  74466-4 0  9990","2 44804  97.4233  67.5409 0014684  77.3007  71.8932 15.19289132116489"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-03T03:20:56","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-02T22:03:24.560928","15.19288897","0.00146830","97.4233","67.6521","77.3446","331.0983","0","U","44804","999","11650","0.00007065800000","0.00001426","0.0000000000000","6886.125","94.781","518.101","497.880","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3255249","192942585","0 CARTOSAT 3","1 44804U 19081A   22002.91903427  .00001426  00000-0  70658-4 0  9993","2 44804  97.4233  67.6521 0014683  77.3446 331.0983 15.19288897116508"
"2.0","GENERATED VIA SPACE-TRACK.ORG API","2022-01-04T05:46:26","18 SPCS","CARTOSAT 3","2019-081A","EARTH","TEME","UTC","SGP4","2022-01-03T04:32:47.995296","15.19289897","0.00146700","97.4232","67.9179","76.4947","9.9987","0","U","44804","999","11654","0.00007117600000","0.00001437","0.0000000000000","6886.122","94.781","518.089","497.886","PAYLOAD","LARGE","IND","2019-11-27","SRI",null,"3258784","193065740","0 CARTOSAT 3","1 44804U 19081A   22003.18944439  .00001437  00000-0  71176-4 0  9999","2 44804  97.4232  67.9179 0014670  76.4947   9.9987 15.19289897116541"
